Feature_Condition,Mean_Abs_Weight
Age <= 31.00,0.10305916014148538
Age > 56.00,0.08024283755951023
InterestRate > 19.25,0.07466704825261822
ApplicantIncome <= 48825.50,0.06924102864204171
InterestRate <= 7.77,0.06261869005753777
MonthsEmployed <= 30.00,0.05588927806428244
LoanAmount > 188985.00,0.05006359804808272
MonthsEmployed > 90.00,0.048361956047017395
LoanAmount <= 66156.00,0.046074328231538286
7.77 < InterestRate <= 13.46,0.03971033875554279
43.00 < Age <= 56.00,0.03917365890403086
Self_Employed=Unemployed,0.027989876279904534
82466.00 < ApplicantIncome <= 116219.00,0.027403404340707815
Self_Employed=Full-time,0.02602561299397303
HasCoSigner=No,0.024377297560456614
60.00 < MonthsEmployed <= 90.00,0.023747995366638405
HasCoSigner=Yes,0.023708804547749446
NumCreditLines > 3.00,0.023376775090844612
Credit_History <= 437.00,0.020107880988336144
Dependents=Yes,0.020055209772958243
Dependents=No,0.019946965441880807
Education=High School,0.01943766788187808
NumCreditLines <= 2.00,0.01871948930913756
Credit_History > 712.00,0.01831010966463562
13.46 < InterestRate <= 19.25,0.016491090528916955
Married=Married,0.01493422854706625
HasMortgage=No,0.014429111905449368
DTIRatio <= 0.30,0.012487819420734668
Education=PhD,0.01217725954988653
Married=Divorced,0.01205447899953723
66156.00 < LoanAmount <= 127556.00,0.011952019988769727
HasMortgage=Yes,0.011702219963200223
127556.00 < LoanAmount <= 188985.00,0.010231691856683524
48825.50 < ApplicantIncome <= 82466.00,0.010029155069846602
Married=Single,0.007893193822854881
LoanPurpose=Business,0.007852272885073326
437.00 < Credit_History <= 574.00,0.006735173580528871
24.00 < Loan_Amount_Term <= 36.00,0.00657522595360127
2.00 < NumCreditLines <= 3.00,0.006130659424219292
Education=Bachelor's,0.005563903651675053
Education=Master's,0.005548987333406186
LoanPurpose=Other,0.00398943888206739
0.50 < DTIRatio <= 0.70,0.0035817122189494167
Loan_Amount_Term <= 24.00,0.003487331746217356
LoanPurpose=Education,0.002559817687692248
Self_Employed=Self-employed,0.001956007894764142
LoanPurpose=Auto,0.00098951235552896
